Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-01-31,5473.45,5561.49,5590.46,5455.21,5621.13,-147.6800000000003,-0.02627229756294558,1.078208504795693,-0.04845475707428679,135.25,1.0247928127423143,0.024060998411351453,5593.221999999999,5671.373333333333,5584.326333333336,5590.2600508768555,-71.40104453330599,24.462381389323923,40.90763277334806,-8.428121378724356,0.7447695059076391,42.685839211764865,52.92160000000022
2020-01-30,5621.13,5567.16,5623.28,5535.16,5617.78,3.350000000000364,0.000596320966645252,1.1072998150274898,-0.022780967878209435,88.11999999999989,1.0159200456716697,0.015685911516648908,5647.103999999999,5682.483333333334,5580.831333333336,5648.665076315283,-49.480934406863895,34.40361075219261,49.13025846536013,4.950315325857588,1.1410671529488732,53.29431874088075,48.68480000000018
2020-01-29,5617.78,5680.36,5681.08,5617.42,5673.06,-55.280000000000655,-0.009744300254183923,1.1066399024511318,-0.023363356785352368,63.659999999999854,1.0113326046476852,0.011221457202990953,5682.82,5680.770666666666,5572.24266666667,5662.432614472925,-43.19692571183302,38.1012849354266,56.49358232194388,1.316690162392021,1.1298588968064722,53.04853286293246,70.77199999999993
2020-01-28,5673.06,5626.25,5687.63,5605.14,5580.69,92.3700000000008,0.01655171672320104,1.1175294449051794,-0.013753070580320065,82.48999999999978,1.014716849177719,0.01478132632344742,5709.6979999999985,5676.794,5561.780333333337,5684.758921709388,-31.809908425616044,48.044772152949086,65.68973101520253,12.7548544284422,1.3641388762409647,57.70130045870981,66.2583999999999
2020-01-27,5580.69,5571.25,5616.72,5565.29,5742.86,-162.17000000000007,-0.02823854316490391,1.0993335867922929,-0.029811358148316282,51.43000000000029,1.0092412075561201,0.008955468181359165,5721.725999999999,5665.265333333334,5549.4736666666695,5690.608382564083,-25.32992133544232,53.36877527432606,74.51221044632923,11.081904930319723,1.0424106286658528,51.038249313595585,56.41440000000021
2020-01-24,5742.86,5846.38,5853.47,5709.91,5799.71,-56.850000000000364,-0.00980221424864353,1.131279265152873,-0.001618519619552343,143.5600000000004,1.0251422526799898,0.024752961786020405,5752.799999999999,5660.696,5537.341333333336,5745.567573846125,2.7303962637718087,77.38122176359549,85.08392803233083,61.975809226124824,2.192233222223682,68.67396802219204,18.764000000000124
2020-01-23,5799.71,5761.56,5800.71,5734.21,5752.17,47.539999999999964,0.0082647070583797,1.142478080068079,0.0082647070583797,66.5,1.0115970639373166,0.011560854425373381,5748.987999999999,5649.6539999999995,5517.569666666669,5746.921360769188,10.94857853471018,90.3454457071911,88.93528116669849,93.16577478817632,3.4203418854539356,77.37731546759517,21.5616
2020-01-22,5752.17,5770.92,5802.26,5744.85,5733.2,18.970000000000255,0.0033087978790204866,1.1331132311486611,0.0,57.409999999999854,1.0099932983454747,0.01001360496755736,5717.683999999999,5626.855333333332,5495.607333333336,5720.527041153781,8.279107455655094,86.18633751582284,88.2301988964522,82.09861475456412,2.985337069615357,74.90801950921269,29.797600000000603
2020-01-21,5733.2,5709.7,5751.3,5709.7,5736.06,-2.860000000000582,-0.0004986000843785772,1.1293763530670171,-0.003297885841343398,41.600000000000364,1.007285846892131,0.007252364863686984,5701.147999999999,5606.155333333332,5476.084666666668,5704.705561730672,9.759558216758421,91.59389313576595,89.25212958676687,96.27742023376413,2.8241547004315817,73.85043026927903,35.84640000000017
2020-01-17,5736.06,5740.79,5742.36,5703.28,5723.8,12.260000000000218,0.0021419336804221352,1.129939741117281,-0.0028006821773347576,39.07999999999993,1.0068521973320614,0.006827631992732088,5690.83,5589.281333333332,5455.125666666669,5690.458342596007,11.949416059021445,91.91968922574281,88.08124781226734,99.5965720526938,2.8893523685739653,74.28877856169532,31.280000000000292
